id,precip_mm,precip_in,is_it_safe_to_go_out
1,0,0,t
2,0,0,t
3,0,0,t
4,0,0,t
5,0,0,t
6,0.3,0.01,t
7,0,0,t
8,0,0,t
9,0,0,t
10,0,0,t
11,0,0,t
12,0,0,t
13,0,0,t
14,0,0,t
15,0.4,0.02,t
16,0,0,t
17,0,0,t
18,0.7,0.03,f
19,0,0,t
20,1.3,0.05,f
21,0,0,t
22,0,0,t
23,0,0,t
24,0,0,t
25,0.4,0.02,t
26,0.1,0,t
27,0,0,t
28,0,0,t
29,0,0,t
30,0,0,t
31,0,0,t
32,0.8,0.03,f
33,0,0,t
34,0,0,t
35,0,0,t
36,0,0,t
37,0,0,t
38,0,0,t
39,3,0.12,f
40,0,0,t
41,0,0,t
42,0,0,t
43,0,0,t
44,0,0,t
45,0.1,0,t
46,0,0,t
47,0,0,t
48,0,0,t
49,0.6,0.02,f
50,0,0,t
51,0,0,t
52,0,0,t
53,0,0,t
54,2,0.08,f
55,0.1,0,t
56,0,0,t
57,0,0,t
58,2.7,0.11,f
59,0.1,0,t
60,0,0,t
61,0,0,t
62,0.2,0.01,t
63,0.7,0.03,f
64,0,0,t
65,0.3,0.01,t
66,0,0,t
67,0,0,t
68,0.4,0.02,t
69,0,0,t
70,2.5,0.1,f
71,0.5,0.02,f
72,1.8,0.07,f
73,0,0,t
74,0.9,0.04,f
75,0,0,t
76,0.1,0,t
77,0,0,t
78,0,0,t
79,0,0,t
80,0,0,t
81,0,0,t
82,0,0,t
83,0,0,t
84,0.9,0.04,f
85,0,0,t
86,0,0,t
87,0,0,t
88,0,0,t
89,0,0,t
90,0.2,0.01,t
91,0,0,t
92,0,0,t
93,0,0,t
94,0,0,t
95,0,0,t
96,0,0,t
97,1.3,0.05,f
98,4.8,0.19,f
99,0.2,0.01,t
100,0.1,0,t
101,0.1,0,t
102,0.2,0.01,t
103,0,0,t
104,1.4,0.06,f
105,9.4,0.37,f
106,2.3,0.09,f
107,0,0,t
108,0,0,t
109,0,0,t
110,0,0,t
111,0,0,t
112,0.3,0.01,t
113,0,0,t
114,0,0,t
115,0,0,t
116,0.3,0.01,t
117,0,0,t
118,0.1,0,t
119,0,0,t
120,0,0,t
121,0,0,t
122,0.5,0.02,f
123,0,0,t
124,0,0,t
125,0,0,t
126,0,0,t
127,0,0,t
128,0.1,0,t
129,0,0,t
130,0,0,t
131,0,0,t
132,0,0,t
133,0,0,t
134,0,0,t
135,0.6,0.02,f
136,0,0,t
137,0,0,t
138,0,0,t
139,0.7,0.03,f
140,0,0,t
141,0,0,t
142,0,0,t
143,0,0,t
144,0,0,t
145,0,0,t
146,0,0,t
147,0.4,0.02,t
148,0.9,0.04,f
149,0.6,0.02,f
150,0,0,t
151,0,0,t
152,0,0,t
153,3.6,0.14,f
154,0.1,0,t
155,0.5,0.02,f
156,1.5,0.06,f
157,0.4,0.02,t
158,0,0,t
159,0.8,0.03,f
160,0.1,0,t
161,0,0,t
162,0,0,t
163,0,0,t
164,0,0,t
165,0,0,t
166,0.1,0,t
167,0,0,t
168,0,0,t
169,0,0,t
170,0,0,t
171,0,0,t
172,0,0,t
173,0,0,t
174,0.1,0,t
175,0,0,t
176,0,0,t
177,0.1,0,t
178,0.1,0,t
179,0,0,t
180,0,0,t
181,0,0,t
182,0.3,0.01,t
183,1.5,0.06,f
184,0,0,t
185,0,0,t
186,0,0,t
187,0,0,t
188,0,0,t
189,0,0,t
190,2.6,0.1,f
191,0.5,0.02,f
192,0,0,t
193,0.2,0.01,t
194,0,0,t
195,0,0,t
196,0,0,t
197,0,0,t
198,0,0,t
199,0,0,t
200,0,0,t
201,0,0,t
202,0,0,t
203,0,0,t
204,0,0,t
205,0,0,t
206,0,0,t
207,0,0,t
208,0,0,t
209,0,0,t
210,0.3,0.01,t
211,0,0,t
212,0,0,t
213,0.1,0,t
214,0.1,0,t
215,0,0,t
216,0,0,t
217,3.5,0.14,f
218,0,0,t
219,0,0,t
220,0,0,t
221,0.5,0.02,f
222,0,0,t
223,0,0,t
224,0,0,t
225,0.6,0.02,f
226,0,0,t
227,0,0,t
228,0,0,t
229,0,0,t
230,0,0,t
231,0,0,t
232,0,0,t
233,0.3,0.01,t
234,0.2,0.01,t
235,0,0,t
236,0,0,t
237,0,0,t
238,0,0,t
239,0,0,t
240,0.1,0,t
241,0,0,t
242,0,0,t
243,0.2,0.01,t
244,1,0.04,f
245,0,0,t
246,0,0,t
247,0,0,t
248,0,0,t
249,3.3,0.13,f
250,0,0,t
251,0.1,0,t
252,0,0,t
253,0,0,t
254,0,0,t
255,0,0,t
256,0,0,t
257,0,0,t
258,0.6,0.02,f
259,0.1,0,t
260,0,0,t
261,0,0,t
262,0,0,t
263,0,0,t
264,1.1,0.04,f
265,7.7,0.3,f
266,1,0.04,f
267,0.1,0,t
268,0,0,t
269,0,0,t
270,0.8,0.03,f
271,0.6,0.02,f
272,0.2,0.01,t
273,0,0,t
274,0,0,t
275,0,0,t
276,0,0,t
277,0,0,t
278,0,0,t
279,0,0,t
280,0,0,t
281,0,0,t
282,0,0,t
283,0,0,t
284,0,0,t
285,1.4,0.06,f
286,0,0,t
287,0,0,t
288,0,0,t
289,0.1,0,t
290,0,0,t
291,0,0,t
292,17.7,0.7,f
293,1.8,0.07,f
294,0,0,t
295,0,0,t
296,0,0,t
297,0,0,t
298,0,0,t
299,0,0,t
300,0,0,t
301,0,0,t
302,0,0,t
303,0.1,0,t
304,3.7,0.15,f
305,0,0,t
306,0,0,t
307,0.1,0,t
308,0,0,t
309,0.2,0.01,t
310,0,0,t
311,2.4,0.09,f
312,0,0,t
313,0.1,0,t
314,0.3,0.01,t
315,0,0,t
316,0,0,t
317,0.1,0,t
318,0,0,t
319,0.1,0,t
320,0,0,t
321,0,0,t
322,1.8,0.07,f
323,0.1,0,t
324,0,0,t
325,0,0,t
326,0,0,t
327,0,0,t
328,0,0,t
329,0,0,t
330,0,0,t
331,0,0,t
332,0,0,t
333,0,0,t
334,28.7,1.13,f
335,0,0,t
336,0,0,t
337,0,0,t
338,0,0,t
339,0,0,t
340,0,0,t
341,0,0,t
342,1,0.04,f
343,2,0.08,f
344,0.1,0,t
345,0.1,0,t
346,0,0,t
347,0,0,t
348,0.2,0.01,t
349,0,0,t
350,0.2,0.01,t
351,19.6,0.77,f
352,0.9,0.04,f
353,0,0,t
354,0,0,t
355,1.5,0.06,f
356,0.4,0.02,t
357,0,0,t
358,0.2,0.01,t
359,0.2,0.01,t
360,0,0,t
361,4.1,0.16,f
362,0,0,t
363,0,0,t
364,0.4,0.02,t
365,0,0,t
366,0,0,t
367,0,0,t
368,0,0,t
369,0,0,t
370,0,0,t
371,0.3,0.01,t
372,0.1,0,t
373,0,0,t
374,0,0,t
375,0,0,t
376,0,0,t
377,0.1,0,t
378,0,0,t
379,0.9,0.04,f
380,0,0,t
381,0,0,t
382,0,0,t
383,0,0,t
384,0,0,t
385,3,0.12,f
386,0,0,t
387,0,0,t
388,0,0,t
389,0,0,t
390,0,0,t
391,0,0,t
392,4.5,0.18,f
393,0,0,t
394,0,0,t
395,0.1,0,t
396,0.1,0,t
397,0,0,t
398,0,0,t
399,0,0,t
400,0,0,t
401,0,0,t
402,0,0,t
403,0,0,t
404,0,0,t
405,0,0,t
406,2.4,0.09,f
407,0,0,t
408,0.1,0,t
409,2.2,0.09,f
410,0,0,t
411,0,0,t
412,0,0,t
413,0,0,t
414,0,0,t
415,0,0,t
416,0,0,t
417,1.1,0.04,f
418,0,0,t
419,0,0,t
420,0,0,t
421,0,0,t
422,2.8,0.11,f
423,0,0,t
424,0.3,0.01,t
425,0.1,0,t
426,0,0,t
427,0.2,0.01,t
428,0,0,t
429,0,0,t
430,0,0,t
431,0.3,0.01,t
432,0,0,t
